n,m,q,r,prior,metric,bits,label,assumptions,model,effective_dimension,candidate_capacity_bits,delta_log2_radius,radius_ratio,baseline_beta,continuous_new_beta,predicted_delta_beta_continuous,integer_new_beta,predicted_delta_beta_integer,predicted_log2_work_gain,work_model_label
24,24,17,1,cbd2,shannon_deficit,2.056823779020773,HEURISTIC ESTIMATOR,coordinatewise entropy diagnostic,bkz_beta,30,2.056823779020773,0.06856079263402576,1.048670026750275,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,1,cbd2,shannon_deficit,2.056823779020773,HEURISTIC ESTIMATOR,coordinatewise entropy diagnostic,sieve_dimension_proxy,25,2.056823779020773,0.08227295116083091,1.0586846741222904,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,1,cbd2,renyi2_separation,2.2167458581953055,HEURISTIC ESTIMATOR,coordinatewise collision-entropy diagnostic,lattice_dimension,49,2.2167458581953055,0.045239711391740926,1.031854613145997,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,1,cbd2,renyi2_separation,2.2167458581953055,HEURISTIC ESTIMATOR,coordinatewise collision-entropy diagnostic,bkz_beta,30,2.2167458581953055,0.07389152860651019,1.0525520138843616,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,1,cbd2,renyi2_separation,2.2167458581953055,HEURISTIC ESTIMATOR,coordinatewise collision-entropy diagnostic,sieve_dimension_proxy,25,2.2167458581953055,0.08866983432781222,1.063389284785703,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,2,uniform_ternary,hard_support_selectivity,5.005000681058367,HEURISTIC ESTIMATOR,candidate residual is independent of dense H and uniform in the relevant mod-q image,lattice_dimension,49,5.005000681058367,0.10214287104200749,1.0733665773308583,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,2,uniform_ternary,hard_support_selectivity,5.005000681058367,HEURISTIC ESTIMATOR,candidate residual is independent of dense H and uniform in the relevant mod-q image,bkz_beta,30,5.005000681058367,0.1668333560352789,1.12259174536535,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,2,uniform_ternary,hard_support_selectivity,5.005000681058367,HEURISTIC ESTIMATOR,candidate residual is independent of dense H and uniform in the relevant mod-q image,sieve_dimension_proxy,25,5.005000681058367,0.20020002724233468,1.148857631134491,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,2,uniform_ternary,same_second_moment_entropy_proxy,0.16965183409890683,HEURISTIC ESTIMATOR,same second moment only; q=17 does not turn this into an attack theorem,lattice_dimension,49,0.16965183409890683,0.003462282328549119,1.002402753230319,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,2,uniform_ternary,same_second_moment_entropy_proxy,0.16965183409890683,HEURISTIC ESTIMATOR,same second moment only; q=17 does not turn this into an attack theorem,bkz_beta,30,0.16965183409890683,0.005655061136630227,1.0039274821059376,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,2,uniform_ternary,same_second_moment_entropy_proxy,0.16965183409890683,HEURISTIC ESTIMATOR,same second moment only; q=17 does not turn this into an attack theorem,sieve_dimension_proxy,25,0.16965183409890683,0.006786073363956273,1.004714827605807,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,2,cbd2,support_selectivity,3.531069492725954,HEURISTIC ESTIMATOR,"support-only diagnostic, not weighted CBD likelihood",lattice_dimension,49,3.531069492725954,0.07206264270869293,1.0512185526548303,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,2,cbd2,support_selectivity,3.531069492725954,HEURISTIC ESTIMATOR,"support-only diagnostic, not weighted CBD likelihood",bkz_beta,30,3.531069492725954,0.11770231642419846,1.0850054703476777,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,2,cbd2,support_selectivity,3.531069492725954,HEURISTIC ESTIMATOR,"support-only diagnostic, not weighted CBD likelihood",sieve_dimension_proxy,25,3.531069492725954,0.14124277970903815,1.1028547381331404,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,2,cbd2,shannon_deficit,4.113647558041546,HEURISTIC ESTIMATOR,coordinatewise entropy diagnostic,lattice_dimension,49,4.113647558041546,0.0839519909804397,1.0599175115998596,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,2,cbd2,shannon_deficit,4.113647558041546,HEURISTIC ESTIMATOR,coordinatewise entropy diagnostic,bkz_beta,30,4.113647558041546,0.13712158526805152,1.0997088250044227,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,2,cbd2,shannon_deficit,4.113647558041546,HEURISTIC ESTIMATOR,coordinatewise entropy diagnostic,sieve_dimension_proxy,25,4.113647558041546,0.16454590232166183,1.12081323922142,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,2,cbd2,renyi2_separation,4.433491716390611,HEURISTIC ESTIMATOR,coordinatewise collision-entropy diagnostic,lattice_dimension,49,4.433491716390611,0.09047942278348185,1.064723942670675,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,2,cbd2,renyi2_separation,4.433491716390611,HEURISTIC ESTIMATOR,coordinatewise collision-entropy diagnostic,bkz_beta,30,4.433491716390611,0.14778305721302037,1.107865741932025,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,2,cbd2,renyi2_separation,4.433491716390611,HEURISTIC ESTIMATOR,coordinatewise collision-entropy diagnostic,sieve_dimension_proxy,25,4.433491716390611,0.17733966865562445,1.130796770997049,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,3,uniform_ternary,hard_support_selectivity,7.507501021587551,HEURISTIC ESTIMATOR,candidate residual is independent of dense H and uniform in the relevant mod-q image,lattice_dimension,49,7.507501021587551,0.15321430656301124,1.1120443349751599,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,3,uniform_ternary,hard_support_selectivity,7.507501021587551,HEURISTIC ESTIMATOR,candidate residual is independent of dense H and uniform in the relevant mod-q image,bkz_beta,30,7.507501021587551,0.25025003405291835,1.1894132348229451,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,3,uniform_ternary,hard_support_selectivity,7.507501021587551,HEURISTIC ESTIMATOR,candidate residual is independent of dense H and uniform in the relevant mod-q image,sieve_dimension_proxy,25,7.507501021587551,0.30030004086350204,1.2314004841269754,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,3,uniform_ternary,same_second_moment_entropy_proxy,0.16965183409890683,HEURISTIC ESTIMATOR,same second moment only; q=17 does not turn this into an attack theorem,lattice_dimension,49,0.16965183409890683,0.003462282328549119,1.002402753230319,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,3,uniform_ternary,same_second_moment_entropy_proxy,0.16965183409890683,HEURISTIC ESTIMATOR,same second moment only; q=17 does not turn this into an attack theorem,bkz_beta,30,0.16965183409890683,0.005655061136630227,1.0039274821059376,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,3,uniform_ternary,same_second_moment_entropy_proxy,0.16965183409890683,HEURISTIC ESTIMATOR,same second moment only; q=17 does not turn this into an attack theorem,sieve_dimension_proxy,25,0.16965183409890683,0.006786073363956273,1.004714827605807,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,3,cbd2,support_selectivity,5.29660423908893,HEURISTIC ESTIMATOR,"support-only diagnostic, not weighted CBD likelihood",lattice_dimension,49,5.29660423908893,0.1080939640630394,1.077803341086651,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,3,cbd2,support_selectivity,5.29660423908893,HEURISTIC ESTIMATOR,"support-only diagnostic, not weighted CBD likelihood",bkz_beta,30,5.29660423908893,0.17655347463629767,1.1301807132434794,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,3,cbd2,support_selectivity,5.29660423908893,HEURISTIC ESTIMATOR,"support-only diagnostic, not weighted CBD likelihood",sieve_dimension_proxy,25,5.29660423908893,0.21186416956355722,1.1581837574998373,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,3,cbd2,shannon_deficit,6.1704713370623185,HEURISTIC ESTIMATOR,coordinatewise entropy diagnostic,lattice_dimension,49,6.1704713370623185,0.12592798647065956,1.0912094069141973,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,3,cbd2,shannon_deficit,6.1704713370623185,HEURISTIC ESTIMATOR,coordinatewise entropy diagnostic,bkz_beta,30,6.1704713370623185,0.20568237790207727,1.1532316829349014,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,3,cbd2,shannon_deficit,6.1704713370623185,HEURISTIC ESTIMATOR,coordinatewise entropy diagnostic,sieve_dimension_proxy,25,6.1704713370623185,0.24681885348249274,1.1865877989170779,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,3,cbd2,renyi2_separation,6.650237574585916,HEURISTIC ESTIMATOR,coordinatewise collision-entropy diagnostic,lattice_dimension,49,6.650237574585916,0.13571913417522277,1.0986403119717298,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,3,cbd2,renyi2_separation,6.650237574585916,HEURISTIC ESTIMATOR,coordinatewise collision-entropy diagnostic,bkz_beta,30,6.650237574585916,0.22167458581953053,1.1660863177840453,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,3,cbd2,renyi2_separation,6.650237574585916,HEURISTIC ESTIMATOR,coordinatewise collision-entropy diagnostic,sieve_dimension_proxy,25,6.650237574585916,0.2660095029834367,1.2024771695485343,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,4,uniform_ternary,hard_support_selectivity,10.010001362116734,HEURISTIC ESTIMATOR,candidate residual is independent of dense H and uniform in the relevant mod-q image,lattice_dimension,49,10.010001362116734,0.20428574208401498,1.1521158093309614,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,4,uniform_ternary,hard_support_selectivity,10.010001362116734,HEURISTIC ESTIMATOR,candidate residual is independent of dense H and uniform in the relevant mod-q image,bkz_beta,30,10.010001362116734,0.3336667120705578,1.2602122267624227,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,4,uniform_ternary,hard_support_selectivity,10.010001362116734,HEURISTIC ESTIMATOR,candidate residual is independent of dense H and uniform in the relevant mod-q image,sieve_dimension_proxy,25,10.010001362116734,0.40040005448466937,1.319873856615954,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,4,uniform_ternary,same_second_moment_entropy_proxy,0.16965183409890683,HEURISTIC ESTIMATOR,same second moment only; q=17 does not turn this into an attack theorem,lattice_dimension,49,0.16965183409890683,0.003462282328549119,1.002402753230319,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,4,uniform_ternary,same_second_moment_entropy_proxy,0.16965183409890683,HEURISTIC ESTIMATOR,same second moment only; q=17 does not turn this into an attack theorem,bkz_beta,30,0.16965183409890683,0.005655061136630227,1.0039274821059376,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,4,uniform_ternary,same_second_moment_entropy_proxy,0.16965183409890683,HEURISTIC ESTIMATOR,same second moment only; q=17 does not turn this into an attack theorem,sieve_dimension_proxy,25,0.16965183409890683,0.006786073363956273,1.004714827605807,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,4,cbd2,support_selectivity,7.062138985451908,HEURISTIC ESTIMATOR,"support-only diagnostic, not weighted CBD likelihood",lattice_dimension,49,7.062138985451908,0.14412528541738587,1.105060445445716,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,4,cbd2,support_selectivity,7.062138985451908,HEURISTIC ESTIMATOR,"support-only diagnostic, not weighted CBD likelihood",bkz_beta,30,7.062138985451908,0.2354046328483969,1.1772368706843852,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,4,cbd2,support_selectivity,7.062138985451908,HEURISTIC ESTIMATOR,"support-only diagnostic, not weighted CBD likelihood",sieve_dimension_proxy,25,7.062138985451908,0.2824855594180763,1.2162885734227176,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,4,cbd2,shannon_deficit,8.227295116083091,HEURISTIC ESTIMATOR,coordinatewise entropy diagnostic,lattice_dimension,49,8.227295116083091,0.1679039819608794,1.1234251313960386,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,4,cbd2,shannon_deficit,8.227295116083091,HEURISTIC ESTIMATOR,coordinatewise entropy diagnostic,bkz_beta,30,8.227295116083091,0.27424317053610303,1.2093594997926078,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,4,cbd2,shannon_deficit,8.227295116083091,HEURISTIC ESTIMATOR,coordinatewise entropy diagnostic,sieve_dimension_proxy,25,8.227295116083091,0.32909180464332366,1.2562223172140123,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,4,cbd2,renyi2_separation,8.866983432781222,HEURISTIC ESTIMATOR,coordinatewise collision-entropy diagnostic,lattice_dimension,49,8.866983432781222,0.1809588455669637,1.1336370740961867,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,4,cbd2,renyi2_separation,8.866983432781222,HEURISTIC ESTIMATOR,coordinatewise collision-entropy diagnostic,bkz_beta,30,8.866983432781222,0.29556611442604075,1.2273665021465965,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,17,4,cbd2,renyi2_separation,8.866983432781222,HEURISTIC ESTIMATOR,coordinatewise collision-entropy diagnostic,sieve_dimension_proxy,25,8.866983432781222,0.3546793373112489,1.2787013372973524,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,31,1,uniform_ternary,hard_support_selectivity,3.3692338096657193,HEURISTIC ESTIMATOR,candidate residual is independent of dense H and uniform in the relevant mod-q image,lattice_dimension,49,3.3692338096657193,0.06875987366664733,1.0488147452880907,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,31,1,uniform_ternary,hard_support_selectivity,3.3692338096657193,HEURISTIC ESTIMATOR,candidate residual is independent of dense H and uniform in the relevant mod-q image,bkz_beta,30,3.3692338096657193,0.11230779365552397,1.080955995407325,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,31,1,uniform_ternary,hard_support_selectivity,3.3692338096657193,HEURISTIC ESTIMATOR,candidate residual is independent of dense H and uniform in the relevant mod-q image,sieve_dimension_proxy,25,3.3692338096657193,0.13476935238662877,1.0979172727094293,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,31,1,uniform_ternary,same_second_moment_entropy_proxy,0.16965183409890683,HEURISTIC ESTIMATOR,same second moment only; q=31 does not turn this into an attack theorem,lattice_dimension,49,0.16965183409890683,0.003462282328549119,1.002402753230319,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,31,1,uniform_ternary,same_second_moment_entropy_proxy,0.16965183409890683,HEURISTIC ESTIMATOR,same second moment only; q=31 does not turn this into an attack theorem,bkz_beta,30,0.16965183409890683,0.005655061136630227,1.0039274821059376,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,31,1,uniform_ternary,same_second_moment_entropy_proxy,0.16965183409890683,HEURISTIC ESTIMATOR,same second moment only; q=31 does not turn this into an attack theorem,sieve_dimension_proxy,25,0.16965183409890683,0.006786073363956273,1.004714827605807,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,31,1,cbd2,support_selectivity,2.6322682154995127,HEURISTIC ESTIMATOR,"support-only diagnostic, not weighted CBD likelihood",lattice_dimension,49,2.6322682154995127,0.053719759499990055,1.0379376337413087,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,31,1,cbd2,support_selectivity,2.6322682154995127,HEURISTIC ESTIMATOR,"support-only diagnostic, not weighted CBD likelihood",bkz_beta,30,2.6322682154995127,0.08774227384998376,1.0627058133446483,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,31,1,cbd2,support_selectivity,2.6322682154995127,HEURISTIC ESTIMATOR,"support-only diagnostic, not weighted CBD likelihood",sieve_dimension_proxy,25,2.6322682154995127,0.10529072861998051,1.0757111434773627,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,31,1,cbd2,shannon_deficit,2.9235572481573087,HEURISTIC ESTIMATOR,coordinatewise entropy diagnostic,lattice_dimension,49,2.9235572481573087,0.05966443363586344,1.0422233147556796,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,31,1,cbd2,shannon_deficit,2.9235572481573087,HEURISTIC ESTIMATOR,coordinatewise entropy diagnostic,bkz_beta,30,2.9235572481573087,0.09745190827191029,1.0698821641629266,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,31,1,cbd2,shannon_deficit,2.9235572481573087,HEURISTIC ESTIMATOR,coordinatewise entropy diagnostic,sieve_dimension_proxy,25,2.9235572481573087,0.11694228992629235,1.084434028906426,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,31,1,cbd2,renyi2_separation,3.0834793273318413,HEURISTIC ESTIMATOR,coordinatewise collision-entropy diagnostic,lattice_dimension,49,3.0834793273318413,0.06292814953738451,1.0445837382216796,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,31,1,cbd2,renyi2_separation,3.0834793273318413,HEURISTIC ESTIMATOR,coordinatewise collision-entropy diagnostic,bkz_beta,30,3.0834793273318413,0.1027826442443947,1.0738426748005192,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,31,1,cbd2,renyi2_separation,3.0834793273318413,HEURISTIC ESTIMATOR,coordinatewise collision-entropy diagnostic,sieve_dimension_proxy,25,3.0834793273318413,0.12333917309327365,1.0892530652265566,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,31,2,uniform_ternary,hard_support_selectivity,6.738467619331439,HEURISTIC ESTIMATOR,candidate residual is independent of dense H and uniform in the relevant mod-q image,lattice_dimension,49,6.738467619331439,0.13751974733329467,1.1000123699337228,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,31,2,uniform_ternary,hard_support_selectivity,6.738467619331439,HEURISTIC ESTIMATOR,candidate residual is independent of dense H and uniform in the relevant mod-q image,bkz_beta,30,6.738467619331439,0.22461558731104794,1.1684658640070407,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,31,2,uniform_ternary,hard_support_selectivity,6.738467619331439,HEURISTIC ESTIMATOR,candidate residual is independent of dense H and uniform in the relevant mod-q image,sieve_dimension_proxy,25,6.738467619331439,0.26953870477325753,1.2054223377137114,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,31,2,uniform_ternary,same_second_moment_entropy_proxy,0.16965183409890683,HEURISTIC ESTIMATOR,same second moment only; q=31 does not turn this into an attack theorem,lattice_dimension,49,0.16965183409890683,0.003462282328549119,1.002402753230319,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,31,2,uniform_ternary,same_second_moment_entropy_proxy,0.16965183409890683,HEURISTIC ESTIMATOR,same second moment only; q=31 does not turn this into an attack theorem,bkz_beta,30,0.16965183409890683,0.005655061136630227,1.0039274821059376,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,31,2,uniform_ternary,same_second_moment_entropy_proxy,0.16965183409890683,HEURISTIC ESTIMATOR,same second moment only; q=31 does not turn this into an attack theorem,sieve_dimension_proxy,25,0.16965183409890683,0.006786073363956273,1.004714827605807,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,31,2,cbd2,support_selectivity,5.2645364309990255,HEURISTIC ESTIMATOR,"support-only diagnostic, not weighted CBD likelihood",lattice_dimension,49,5.2645364309990255,0.10743951899998011,1.0773145315365071,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,31,2,cbd2,support_selectivity,5.2645364309990255,HEURISTIC ESTIMATOR,"support-only diagnostic, not weighted CBD likelihood",bkz_beta,30,5.2645364309990255,0.17548454769996752,1.1293436457165105,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,31,2,cbd2,support_selectivity,5.2645364309990255,HEURISTIC ESTIMATOR,"support-only diagnostic, not weighted CBD likelihood",sieve_dimension_proxy,25,5.2645364309990255,0.21058145723996102,1.1571544642013754,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,31,2,cbd2,shannon_deficit,5.847114496314617,HEURISTIC ESTIMATOR,coordinatewise entropy diagnostic,lattice_dimension,49,5.847114496314617,0.11932886727172688,1.0862294378203166,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,31,2,cbd2,shannon_deficit,5.847114496314617,HEURISTIC ESTIMATOR,coordinatewise entropy diagnostic,bkz_beta,30,5.847114496314617,0.19490381654382058,1.1446478451939472,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,31,2,cbd2,shannon_deficit,5.847114496314617,HEURISTIC ESTIMATOR,coordinatewise entropy diagnostic,sieve_dimension_proxy,25,5.847114496314617,0.2338845798525847,1.1759971630502235,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,31,2,cbd2,renyi2_separation,6.1669586546636825,HEURISTIC ESTIMATOR,coordinatewise collision-entropy diagnostic,lattice_dimension,49,6.1669586546636825,0.12585629907476903,1.0911551861571784,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,31,2,cbd2,renyi2_separation,6.1669586546636825,HEURISTIC ESTIMATOR,coordinatewise collision-entropy diagnostic,bkz_beta,30,6.1669586546636825,0.2055652884887894,1.1531380902227337,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,31,2,cbd2,renyi2_separation,6.1669586546636825,HEURISTIC ESTIMATOR,coordinatewise collision-entropy diagnostic,sieve_dimension_proxy,25,6.1669586546636825,0.2466783461865473,1.186472240105449,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
24,24,31,3,uniform_ternary,hard_support_selectivity,10.107701428997158,HEURISTIC ESTIMATOR,candidate residual is independent of dense H and uniform in the relevant mod-q image,lattice_dimension,49,10.107701428997158,0.20627962099994201,1.1537091935857864,30,20.0,10.0,20,10,2.87,HEURISTIC ESTIMATOR / beta-cost proxy
